year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2019,Seoul,607,18690,422293,216816,205477,28727,3744,24983,3028,1255,1773,69664,72171,7169,5933
2019,Jongno-gu,13,274,5463,2790,2673,439,64,375,53,21,32,961,946,106,100
2019,Jung-gu,12,246,5181,2544,2637,401,59,342,74,34,40,812,925,125,98
2019,Yongsan-gu ,15,358,7273,3726,3547,580,64,516,68,26,42,1160,1260,195,117
2019,Seongdong-gu,21,576,11789,5950,5839,936,124,812,118,54,64,1808,2152,195,236
2019,Gwangjin-gu,22,649,14977,7707,7270,1018,139,879,117,54,63,2545,2603,217,206
2019,Dongdaemun-gu,21,619,13684,7086,6598,937,118,819,117,59,58,2196,2325,277,213
2019,Jungnang-gu,23,704,15176,7764,7412,1071,173,898,114,50,64,2469,2722,266,273
2019,Seongbuk-gu,29,902,21051,10833,10218,1391,220,1171,152,59,93,3492,3542,333,302
2019,Gangbuk-gu,14,461,10392,5285,5107,708,128,580,80,36,44,1788,1713,179,161
2019,Dobong-gu,23,707,15561,8011,7550,1023,192,831,111,57,54,2621,2608,279,221
2019,Nowon-gu,42,1213,26994,13778,13216,1788,341,1447,222,101,121,4833,4326,485,369
2019,Eunpyeong-gu,31,944,21613,11144,10469,1411,189,1222,146,62,84,3687,3686,402,312
2019,Seodaemun-gu,19,579,12993,6569,6424,890,105,785,102,45,57,2187,2246,221,198
2019,Mapo-gu,22,671,15272,7773,7499,1086,122,964,108,44,64,2477,2561,237,215
2019,Yangcheon-gu,30,1019,24414,12643,11771,1533,178,1355,147,53,94,4351,3741,355,290
2019,Gangseo-gu,36,1200,27134,13964,13170,1781,232,1549,183,74,109,4203,4976,424,349
2019,Guro-gu,26,858,18674,9381,9293,1330,173,1157,128,61,67,2799,3310,328,263
2019,Geumcheon-gu,18,454,8880,4543,4337,698,108,590,83,33,50,1405,1663,200,164
2019,Yeongdeungpo-gu,23,666,13891,7084,6807,1057,131,926,111,38,73,2148,2570,300,217
2019,Dongjak-gu,21,691,16257,8380,7877,1060,140,920,107,48,59,2615,2803,259,214
2019,Gwanak-gu,22,711,15246,7838,7408,1105,145,960,103,41,62,2506,2595,276,226
2019,Seocho-gu,24,890,23064,11840,11224,1367,116,1251,121,42,79,3769,3844,304,218
2019,Gangnam-gu,33,985,25484,13336,12148,1593,124,1469,155,49,106,4391,4104,428,354
2019,Songpa-gu,40,1433,32208,16516,15692,2195,202,1993,196,72,124,5191,5654,468,390
2019,Gang Dong-gu,27,880,19622,10331,9291,1329,157,1172,112,42,70,3250,3296,309,231
2020,Seoul,607,18561,409536,210243,199293,28608,3719,24889,2962,1168,1794,74375,64898,7235,6001
2020,Jongno-gu,13,269,5192,2634,2558,452,62,390,51,19,32,988,764,106,100
2020,Jung-gu,12,243,4990,2468,2522,393,63,330,72,33,39,878,901,125,98
2020,Yongsan-gu ,15,351,6870,3498,3372,568,61,507,66,25,41,1301,1087,195,117
2020,Seongdong-gu,21,566,10992,5590,5402,919,117,802,109,47,62,1992,1926,195,236
2020,Gwangjin-gu,22,639,14257,7322,6935,998,144,854,112,52,60,2615,2250,217,206
2020,Dongdaemun-gu,21,603,13157,6809,6348,932,124,808,117,57,60,2333,2127,273,214
2020,Jungnang-gu,23,696,14554,7440,7114,1067,173,894,112,46,66,2486,2377,272,276
2020,Seongbuk-gu,29,888,20086,10255,9831,1359,217,1142,153,61,92,3717,3145,332,302
2020,Gangbuk-gu,14,452,9913,5066,4847,703,129,574,79,33,46,1870,1528,179,161
2020,Dobong-gu,23,689,14540,7474,7066,1012,199,813,108,54,54,2822,2247,279,221
2020,Nowon-gu,42,1201,25841,13297,12544,1751,317,1434,223,103,120,5092,3856,485,371
2020,Eunpyeong-gu,31,921,20400,10538,9862,1408,187,1221,148,61,87,3850,3171,401,313
2020,Seodaemun-gu,19,582,12988,6582,6406,906,119,787,101,43,58,2134,2188,221,199
2020,Mapo-gu,22,655,14375,7282,7093,1037,105,932,95,37,58,2761,2193,244,215
2020,Yangcheon-gu,30,1010,23985,12430,11555,1555,182,1373,147,46,101,4785,3518,355,292
2020,Gangseo-gu,35,1180,26078,13375,12703,1756,235,1521,174,68,106,4512,4327,414,347
2020,Guro-gu,26,867,18180,9220,8960,1336,177,1159,126,50,76,3039,3039,327,264
2020,Geumcheon-gu,18,443,8339,4226,4113,693,104,589,79,30,49,1477,1345,200,165
2020,Yeongdeungpo-gu,23,660,13537,6884,6653,1039,129,910,111,38,73,2268,2282,300,220
2020,Dongjak-gu,21,686,15553,7919,7634,1045,142,903,101,44,57,2724,2557,259,217
2020,Gwanak-gu,22,694,14410,7416,6994,1067,139,928,105,39,66,2612,2310,276,237
2020,Seocho-gu,24,880,22668,11736,10932,1324,127,1197,116,33,83,3944,3452,304,220
2020,Gangnam-gu,33,990,25905,13581,12324,1611,106,1505,148,47,101,5029,3906,429,360
2020,Songpa-gu,40,1406,31373,16045,15328,2173,202,1971,184,58,126,5603,4982,468,391
2020,Gang Dong-gu,28,990,21353,11156,10197,1504,159,1345,125,44,81,3543,3420,377,261
2021,Seoul,607,18396,399435,204682,194753,28219,3660,24559,2960,1124,1836,70430,63690,7158,6034
2021,Jongno-gu,13,267,5072,2555,2517,448,69,379,53,18,35,907,772,99,100
2021,Jung-gu,12,239,4808,2386,2422,382,55,327,70,34,36,783,817,125,97
2021,Yongsan-gu ,15,347,6656,3428,3228,585,61,524,61,19,42,1172,1099,194,117
2021,Seongdong-gu,21,550,10555,5391,5164,897,110,787,112,46,66,1785,1886,195,236
2021,Gwangjin-gu,22,623,13742,7048,6694,961,145,816,110,50,60,2438,2146,214,206
2021,Dongdaemun-gu,21,596,12792,6639,6153,911,132,779,112,50,62,2212,2167,273,214
2021,Jungnang-gu,23,689,13862,7119,6743,1042,156,886,112,47,65,2414,2215,272,278
2021,Seongbuk-gu,29,883,19628,9937,9691,1354,204,1150,149,61,88,3349,3175,332,302
2021,Gangbuk-gu,14,447,9412,4857,4555,689,118,571,76,29,47,1652,1394,179,161
2021,Dobong-gu,23,675,13952,7126,6826,979,198,781,115,54,61,2456,2249,279,222
2021,Nowon-gu,42,1177,24692,12689,12003,1716,324,1392,221,101,120,4866,3751,485,374
2021,Eunpyeong-gu,30,907,19730,10158,9572,1368,179,1189,150,59,91,3425,3074,394,307
2021,Seodaemun-gu,19,587,12940,6507,6433,900,122,778,96,40,56,2123,2225,221,200
2021,Mapo-gu,22,645,13888,6964,6924,1020,104,916,98,35,63,2531,2298,244,216
2021,Yangcheon-gu,30,1006,23469,12096,11373,1503,178,1325,146,46,100,4746,3389,355,298
2021,Gangseo-gu,35,1169,24896,12749,12147,1711,231,1480,170,66,104,4241,4005,410,353
2021,Guro-gu,26,843,17290,8757,8533,1300,176,1124,128,51,77,2881,2799,327,266
2021,Geumcheon-gu,18,428,8050,4081,3969,672,104,568,79,28,51,1254,1314,200,166
2021,Yeongdeungpo-gu,23,664,13776,7007,6769,1042,116,926,111,41,70,2183,2400,300,226
2021,Dongjak-gu,21,686,15174,7777,7397,1053,133,920,107,44,63,2473,2525,260,218
2021,Gwanak-gu,22,674,13550,6959,6591,1044,154,890,106,37,69,2428,2174,279,237
2021,Seocho-gu,24,879,22345,11550,10795,1330,125,1205,118,30,88,4047,3413,304,222
2021,Gangnam-gu,33,1000,25829,13492,12337,1624,115,1509,148,47,101,5107,3618,413,362
2021,Songpa-gu,40,1394,31235,15931,15304,2161,185,1976,185,54,131,5206,5022,457,394
2021,Gang Dong-gu,29,1021,22092,11479,10613,1527,166,1361,127,37,90,3751,3763,346,261
